Drate,Denom
14.1,1493
17,2712
13.1,1062
12.5,613
9.6,3010
19.2,400
16.6,469
12.3,1069
2.8,3844
5.8,1356
0.2,364
0.4,224
0.5,200
1.5,379
5.7,52
1.8,53
1.6,1673
1.5,390
12.2,229
3.8,521
0,22
9.4,170
2.2,953
10.6,3024
4.2,3403
5,844
8,374
8.3,514
13.6,271
13.6,242
6.1,1543
11.1,448
18.6,2360
17,628
21.1,104
1.4,142
23.9,847
0.6,2129
5,5909
13.5,781
1.5,924
11,1836
6.7,1311
14.9,328
10,737
4.4,968
34.3,67
19,542
8.4,296
6.5,334
n/a,n/a
8.8,679
28.7,587
28,460
15.1,514
5.2,518
8.8,733
10.1,306
9.1,1237
8.3,2652
15.8,718
9.1,392
8.6,1923
7.4,641
13.5,377
5.1,665
5.4,369
4.7,21
19.6,1030
16.7,131
23.5,598
10.4,67
2.8,5193
n/a,n/a
1.5,4176
5.7,6319
6,4254
1.5,1277
4.3,232
22.1,656
6,2408
18,155
19.9,261
3.5,2992
4.2,708
12.7,1803
6.5,1143
7,425
4,271
11.5,295
3.5,917
11.4,297
7.4,700
23.1,255
10.6,863
3.1,3281
3.3,3318
10.5,190
8.5,328
4.7,1055
9.3,75
4.3,1571
3.9,1076
6.9,316
8.7,4779
4.8,1225
1.2,1705
1.8,659
27.8,897
5.3,282
20.3,1709
3.9,102
8.1,4766
7.2,685
8.1,757
2.6,673
3.7,349
7.4,388
20.5,6519
10.8,379
3.6,355
4.6,970
8.5,2773
8.4,486
7.6,419
2.7,877
9.7,11219
0.5,199
4.5,305
16.8,2041
8.6,771
5.2,800
4.4,426
0,47
8,4416
8.1,4661
5.3,613
8.8,713
10.8,809
1.5,384
3.3,723
5,11670
9.7,9731
4.2,403
4.7,787
3.7,27
2.5,40
25.5,970
21.4,5747
12.1,2052
11.3,141
10.8,6980
6.9,10124
1.4,1933
9,5588
11.1,420
4.6,499
5,810
22.4,236
8.7,423
7.1,520
4.4,1409
12.9,3803
22.8,232
10.6,480
9.7,880
15.7,1345
5.3,544
9.4,3571
23.8,611
11.7,1101
22.1,379
20.5,312
21.7,963
17.8,520
23.2,769
10.2,2247
17.3,1057
11.3,522
6.7,460
4.4,578
5.2,750
10.8,257
12.1,1139
6.8,4275
17.3,886
12.8,452
15.8,346
9.1,261
11.2,907
24.7,327
10.6,1155
4.6,5512
4.6,626
18.8,377
20.1,2266
19.7,233
5.8,4596
9.4,1265
2.5,935
22.1,3974
2.1,796
2.4,815
4.4,491
11.7,17
23.7,2904
5.4,257
6.9,173
5.2,269
7,1652
3.9,5949
5.5,921
2.3,1051
19.7,10662
6.6,7136
1.2,244
20.1,3571
8,1539
16.9,479
24,1059
19.9,712
3.5,4338
0.5,846
8.4,677
1.9,605
6.6,60
6.6,810
2.8,527
14.6,3054
7.8,743
2.7,1073
1.1,349
1.7,509
10.3,1106
9,666
6.7,766
0.9,1365
4.7,547
2.4,697
8.6,767
4.5,731
18.4,6484
0,61
5.2,625
1.8,384
3,5766
2.2,2106
7.1,1228
2.4,601
5,59
2,344
4.9,948
6.5,697
2.1,470
5.7,873
17.6,809
16.6,7505
1.9,101
6,775
5.8,822
7.4,4253
1.6,360
9.9,592
6,690
18.5,868
1.7,351
10,515
3.4,87
4.6,1668
2,479
1.9,947
13.5,747
4,124
6.2,353
13.5,361
4.6,891
9.8,1408
1.7,752
8.6,150
2.9,479
7.8,639
5.7,823
2.6,414
11,316
13.8,959
0.4,250
4.8,1791
6.2,2613
7,2993
28,420
8.3,1853
7.6,1976
8.7,2451
6.7,2753
7.1,1732
9.5,991
6.4,2347
5.5,2185
5,2497
4.1,3692
5.1,19227
9.7,639
5.9,317
0.9,661
1.8,606
3.2,31
7.3,1340
4.1,24
4.5,1450
13,321
6.9,563
1.7,58
4.9,669
3.3,2045
3.5,480
3.5,536
1.3,147
4.5,8963
10.8,349
1.1,3009
3.5,7252
3.1,1371
3.1,418
14.7,149
1.7,1810
3.3,393
4,669
3.1,410
7.6,52
5.8,933
9.9,1920
7.1,197
4.1,1285
0.6,813
2.3,755
6.9,5247
2.6,884
8.2,2108
13.8,2468
2.1,366
3.1,1154
