OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,Program Length,College Type,Defaults,Loans
285500,2855,SUNY College of Technology at Canton,12347,11.7,6,1,151,1285
108200,1082,Northern Arizona University,14678,7.4,8,1,527,7067
382600,3826,West Virginia State University,9613,17.1,8,1,137,801
322300,3223,University of Oregon,15355,3.5,8,1,153,4338
392000,3920,University of Wisconsin-Oshkosh,13171,3.9,8,1,119,2987
327700,3277,Indiana University of Pennsylvania-Main Campus,17264,7.4,8,1,316,4253
352200,3522,Tennessee State University,9614,13.5,8,1,421,3112
313100,3131,University of Toledo,15919,9,8,1,503,5588
342500,3425,Clemson University,17797,1.9,8,1,62,3223
4127100,41271,University of California-Merced,12805,3.9,8,1,50,1255
799300,7993,California State University-Bakersfield,6143,7.4,8,1,143,1908
137000,1370,University of Colorado Boulder,22727,3.1,8,1,144,4515
376900,3769,Bellevue College,8011,7.6,6,1,85,1113
501500,5015,University of Wisconsin-Parkside,9906,9.7,8,1,129,1319
370600,3706,Christopher Newport University,22637,2.4,8,1,24,1000
135300,1353,Fort Lewis College,17918,10.2,8,1,102,996
192600,1926,Pittsburg State University,12967,8.4,8,1,154,1828
351000,3510,Middle Tennessee State University,11744,9.6,8,1,595,6186
1043400,10434,Renton Technical College,6338,9.8,6,1,33,335
202500,2025,Southern University and A & M College,12455,8.8,8,1,198,2227
114200,1142,California State University-San Bernardino,6444,5.9,8,1,226,3812
192700,1927,Emporia State University,12939,7.2,8,1,106,1471
382711,3827,Potomac State College of West Virginia University,7544,8.5,8,1,633,7427
350900,3509,University of Memphis,13291,10.3,8,1,590,5695
352300,3523,Tennessee Technological University,14688,4.6,8,1,103,2194
927500,9275,Northern Kentucky University,8910,8.1,8,1,306,3773
256600,2566,Wayne State College,12139,7.7,8,1,74,953
253000,2530,Montana State University-Billings,11680,11.5,8,1,172,1493
309002,3090,Ohio State University-Mansfield Campus,16157,5,8,1,585,11670
157700,1577,Kennesaw State University,17441,6.4,8,1,525,8093
285700,2857,SUNY College of Technology at Delhi,13983,9.6,8,1,109,1132
342800,3428,College of Charleston,18877,2.4,8,1,50,2070
332920,3329,Pennsylvania State University-Penn State Harrisburg,20951,5.1,8,1,983,19227
181100,1811,Indiana University-East,8548,8.8,8,1,93,1050
109000,1090,Arkansas State University-Main Campus,12310,6.5,8,1,297,4507
367700,3677,Utah State University,13037,5.7,8,1,295,5112
380200,3802,Western Washington University,16245,2.3,8,1,69,2978
262200,2622,Kean University,16164,7.5,8,1,295,3928
